epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.25497,1.45166,3.91654,0.97469,0.01601,0.0997,0.02437,0.01041,1.22456,3.86685,0.85368,0.0001625,0.0001625,0.0001625
2,9.32857,1.32202,1.69733,0.87407,0.06482,0.23988,0.1841,0.11254,1.27087,3.02082,0.85653,0.000334159,0.000334159,0.000334159
3,12.3307,1.13912,1.1164,0.85376,0.97618,0.15526,0.26065,0.17124,1.15072,1.51367,0.85453,0.000502353,0.000502353,0.000502353
4,15.3387,1.06113,0.97636,0.84828,0.84251,0.18603,0.26788,0.18081,1.04914,1.257,0.85354,0.000667081,0.000667081,0.000667081
5,18.4965,1.02278,0.89964,0.83898,0.79578,0.20301,0.28747,0.18658,1.02964,1.10325,0.84785,0.000828345,0.000828345,0.000828345
6,21.1389,0.98704,0.85033,0.83715,0.7274,0.29383,0.30038,0.20248,0.97614,0.96889,0.8359,0.000986144,0.000986144,0.000986144
7,23.8442,0.98695,0.85402,0.83569,0.77269,0.29329,0.31971,0.21729,0.93178,0.87125,0.83154,0.00114048,0.00114048,0.00114048
8,26.6036,0.98792,0.82769,0.83654,0.70045,0.32543,0.3298,0.21601,0.87264,0.91505,0.82373,0.00116337,0.00116337,0.00116337
9,29.0653,0.9374,0.78931,0.83296,0.69356,0.35389,0.35157,0.23582,0.81608,0.77332,0.81653,0.001151,0.001151,0.001151
10,31.4838,0.9541,0.786,0.83153,0.6553,0.38335,0.36388,0.25576,0.82092,0.78451,0.81619,0.00113863,0.00113863,0.00113863
11,34.3427,0.88487,0.73892,0.82648,0.6242,0.34643,0.34585,0.24705,0.80155,0.76108,0.81639,0.00112625,0.00112625,0.00112625
