epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.261,0.93508,1.33618,0.85892,0.5879,0.56071,0.58108,0.39682,0.73966,0.95509,0.81088,0.000407197,0.000407197,0.000407197
2,23.421,0.76661,0.54306,0.81517,0.80107,0.688,0.76702,0.53464,0.63255,0.46795,0.80184,0.000815707,0.000815707,0.000815707
3,33.2258,0.76288,0.50726,0.80983,0.80405,0.6871,0.77849,0.54919,0.69126,0.46459,0.80466,0.00121597,0.00121597,0.00121597
4,42.9091,0.75742,0.49874,0.80822,0.81634,0.72723,0.8182,0.58945,0.6006,0.43659,0.79609,0.00121287,0.00121287,0.00121287
5,52.6704,0.69507,0.46053,0.80451,0.7842,0.74903,0.81757,0.58513,0.64873,0.43496,0.80212,0.0012005,0.0012005,0.0012005
6,62.2619,0.69586,0.4566,0.80439,0.7901,0.78317,0.84791,0.61657,0.58762,0.40234,0.79449,0.00118812,0.00118812,0.00118812
7,72.1437,0.68431,0.44133,0.80061,0.81662,0.76886,0.84604,0.61502,0.56573,0.40253,0.79313,0.00117575,0.00117575,0.00117575
8,81.5574,0.68837,0.4362,0.80391,0.81789,0.79764,0.85741,0.62459,0.62477,0.4013,0.79795,0.00116337,0.00116337,0.00116337
9,91.5899,0.66082,0.42087,0.80099,0.81694,0.77449,0.85385,0.63626,0.5616,0.3813,0.79535,0.001151,0.001151,0.001151
10,101.658,0.66161,0.41595,0.80159,0.76109,0.81705,0.85163,0.61694,0.57515,0.40036,0.79296,0.00113863,0.00113863,0.00113863
11,111.294,0.64939,0.41159,0.79934,0.80551,0.81118,0.86352,0.63313,0.54944,0.37749,0.79261,0.00112625,0.00112625,0.00112625
12,120.842,0.64346,0.39957,0.79763,0.80403,0.82339,0.87046,0.64724,0.53278,0.3631,0.79195,0.00111388,0.00111388,0.00111388
13,130.53,0.61789,0.39407,0.79763,0.77051,0.84004,0.86283,0.63959,0.54562,0.37109,0.79171,0.0011015,0.0011015,0.0011015
14,139.794,0.64197,0.40504,0.79597,0.78796,0.80189,0.85799,0.6392,0.53318,0.35939,0.7919,0.00108913,0.00108913,0.00108913
15,149.484,0.6062,0.38025,0.7959,0.77293,0.82535,0.86211,0.64309,0.52584,0.36037,0.79354,0.00107675,0.00107675,0.00107675
16,158.842,0.62416,0.38833,0.79624,0.78935,0.81223,0.85831,0.63315,0.5459,0.36388,0.79228,0.00106437,0.00106437,0.00106437
17,168.19,0.61676,0.38479,0.7954,0.79263,0.81866,0.85879,0.64141,0.51625,0.37409,0.79018,0.001052,0.001052,0.001052
18,177.453,0.61029,0.38603,0.79431,0.77626,0.83651,0.86992,0.6451,0.53162,0.36977,0.79046,0.00103962,0.00103962,0.00103962
19,186.758,0.6131,0.38861,0.7952,0.83424,0.79979,0.88223,0.65124,0.52238,0.34838,0.79084,0.00102725,0.00102725,0.00102725
20,196.134,0.60907,0.38613,0.79506,0.79083,0.8169,0.8652,0.64178,0.54028,0.37455,0.79252,0.00101488,0.00101488,0.00101488
21,205.35,0.60575,0.38316,0.79286,0.79784,0.81273,0.8716,0.64923,0.51538,0.35355,0.79046,0.0010025,0.0010025,0.0010025
22,214.633,0.60471,0.3802,0.79254,0.79032,0.83974,0.87782,0.65775,0.50855,0.34817,0.7912,0.000990125,0.000990125,0.000990125
23,223.921,0.59055,0.36997,0.79485,0.78603,0.84122,0.8751,0.65832,0.4995,0.3405,0.78996,0.00097775,0.00097775,0.00097775
24,233.263,0.59909,0.36757,0.79315,0.78055,0.83037,0.87192,0.65613,0.52779,0.34941,0.79004,0.000965375,0.000965375,0.000965375
25,242.619,0.59311,0.36793,0.79272,0.77924,0.8503,0.87686,0.65787,0.50042,0.33587,0.78917,0.000953,0.000953,0.000953
26,251.929,0.58308,0.35708,0.79029,0.7744,0.84758,0.86955,0.65016,0.51597,0.33672,0.79054,0.000940625,0.000940625,0.000940625
27,261.242,0.57423,0.34973,0.79215,0.79759,0.83532,0.87478,0.66081,0.50052,0.33019,0.78941,0.00092825,0.00092825,0.00092825
28,271.115,0.56202,0.34843,0.7903,0.80195,0.82797,0.87777,0.66263,0.50752,0.33796,0.78893,0.000915875,0.000915875,0.000915875
29,280.897,0.56697,0.35202,0.79266,0.79722,0.81595,0.86909,0.6545,0.50863,0.34323,0.78913,0.0009035,0.0009035,0.0009035
30,290.358,0.56628,0.35249,0.79131,0.78186,0.84941,0.87994,0.66389,0.50328,0.33882,0.78991,0.000891125,0.000891125,0.000891125
31,299.898,0.55831,0.3472,0.79186,0.79164,0.8433,0.88043,0.67152,0.48372,0.32789,0.78882,0.00087875,0.00087875,0.00087875
32,309.461,0.56735,0.35054,0.7897,0.80708,0.83346,0.88307,0.66412,0.49355,0.32595,0.78852,0.000866375,0.000866375,0.000866375
33,318.758,0.55644,0.34508,0.79005,0.79436,0.82644,0.8763,0.66689,0.48789,0.32998,0.78916,0.000854,0.000854,0.000854
34,327.963,0.5517,0.34489,0.79043,0.77288,0.84872,0.87517,0.66533,0.49505,0.32982,0.78851,0.000841625,0.000841625,0.000841625
35,337.213,0.56283,0.34884,0.79064,0.80216,0.82213,0.88352,0.66876,0.49252,0.33299,0.78779,0.00082925,0.00082925,0.00082925
36,346.449,0.55294,0.34482,0.7903,0.7974,0.82063,0.87524,0.6701,0.48033,0.32281,0.7876,0.000816875,0.000816875,0.000816875
37,355.683,0.55574,0.34164,0.79092,0.81134,0.81347,0.87585,0.66376,0.48134,0.33004,0.78776,0.0008045,0.0008045,0.0008045
38,364.884,0.54902,0.33919,0.79165,0.80263,0.83152,0.8743,0.66965,0.49385,0.33208,0.78885,0.000792125,0.000792125,0.000792125
39,374.128,0.55005,0.33707,0.79147,0.8061,0.84833,0.88805,0.6743,0.49795,0.32585,0.7883,0.00077975,0.00077975,0.00077975
40,383.428,0.54774,0.33709,0.78935,0.81758,0.81967,0.88717,0.67823,0.47154,0.31157,0.78804,0.000767375,0.000767375,0.000767375
41,392.722,0.54495,0.33292,0.78943,0.77694,0.83831,0.87376,0.67127,0.49086,0.32632,0.78804,0.000755,0.000755,0.000755
42,401.982,0.54048,0.33188,0.78762,0.78714,0.83193,0.88137,0.67394,0.47667,0.32052,0.78734,0.000742625,0.000742625,0.000742625
43,411.281,0.53942,0.32976,0.78907,0.79474,0.85484,0.89201,0.67497,0.47719,0.31932,0.78717,0.00073025,0.00073025,0.00073025
44,420.498,0.53539,0.33016,0.78694,0.79804,0.84549,0.88195,0.66946,0.47559,0.31819,0.78858,0.000717875,0.000717875,0.000717875
45,429.716,0.53806,0.32985,0.79023,0.7927,0.85674,0.88645,0.67714,0.47515,0.31678,0.78729,0.0007055,0.0007055,0.0007055
46,438.877,0.53737,0.32456,0.78956,0.83192,0.80428,0.88627,0.68404,0.47219,0.3149,0.78844,0.000693125,0.000693125,0.000693125
47,448.152,0.53395,0.32783,0.78754,0.80925,0.82247,0.88244,0.67266,0.47413,0.31998,0.78705,0.00068075,0.00068075,0.00068075
48,457.473,0.53314,0.32411,0.7877,0.80428,0.86083,0.88632,0.68161,0.46464,0.30925,0.78648,0.000668375,0.000668375,0.000668375
49,467.062,0.52512,0.3221,0.78841,0.79037,0.85752,0.88093,0.67107,0.48931,0.32557,0.78894,0.000656,0.000656,0.000656
